DishName,Rating,ReviewCount,Submitter,MadeIt,Servings,Calories,PrepTime,CookTime,Totaltime,Ingredients,Directions
Paleo Maple Bacon Mini Donuts,0,0,Back Porch Paleo,0,13,205,20 m,14 m,49 m,"['3 slices bacon, or more to taste', ""1 cup cassava flour (such as Otto's)"", '1 teaspoon baking powder', '1/4 teaspoon salt', '1/4 cup butter, at room temperature', '2 tablespoons coconut sugar', '3/4 cup coconut milk, at room temperature', '1/4 cup maple syrup, at room temperature', '1 egg, at room temperature', '1/2 teaspoon vanilla extract', 'Topping:', '6 tablespoons almond butter, at room temperature', '3 tablespoons maple syrup, at room temperature', '2 tablespoons coconut milk, at room temperature (optional)']","['Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels, reserving bacon drippings in the skillet. Chop bacon.', 'Whisk cassava flour, baking powder, and salt together in a bowl.', 'Beat butter and coconut sugar together in a bowl using an electric mixer until fluffy. Add 3/4 cup coconut milk, 1/4 cup maple syrup, and egg; beat until well combined. Mix flour mixture into butter mixture until batter is smooth. Add bacon drippings, 1 tablespoon at a time, if batter is too thick. Mix chopped bacon into batter.', ""Preheat donut maker according to manufacturer's instructions."", ""Transfer batter to a clear plastic bag and snip off a corner; fill donut maker with batter according to manufacturer's instructions. Cook for 4 to 5 minutes. Transfer donuts to a wire rack to cool, about 15 minutes."", 'Mix almond butter, 3 tablespoons maple syrup, and 2 tablespoons coconut milk together in a bowl until very smooth. Dip cooled donuts into almond butter topping.', '']"
Prosciutto Chicken Rolls,0,0,mecrazy,0,6,262,25 m,20 m,45 m,"['cooking spray', '6 skinless, boneless chicken breast halves', '2/3 cup ricotta cheese', '1/3 cup frozen chopped spinach - thawed, drained, and squeezed dry', '2 tablespoons drained and chopped oil-packed sun-dried tomatoes', '2 tablespoons grated Parmesan cheese', '6 thin slices prosciutto', '1 3/4 cups marinara sauce', '6 toothpicks']","['Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking pan with cooking spray.', 'Place chicken breast halves between 2 sheets of heavy plastic on a solid, level surface. Firmly pound with the smooth side of a meat mallet to 1/4-inch thickness.', 'Mix ricotta cheese, spinach, sun-dried tomatoes, and Parmesan cheese together in a bowl.', 'Place 1 slice prosciutto on top of each chicken breast; spread ricotta cheese evenly on top. Roll up chicken and secure with a toothpick.', 'Arrange chicken rolls in the prepared baking pan; cover with 1 cup marinara sauce. Cover baking pan with aluminum foil.', 'Bake in the preheated oven until sauce is bubbly, about 15 minutes. Uncover and baste chicken rolls. Continue baking, uncovered, until chicken is no longer pink in the center, about 5 minutes more.', 'Slice each chicken roll into 4 or 5 slices. Spoon remaining 3/4 cup marinara sauce on top.', '']"
Congee,0,0,Mark Miller,0,6,205,20 m,3 h 15 m,3 h 35 m,"['5 cups chicken stock', '5 cups water', '1 cup white rice', '1/4 cup apple cider vinegar', '2 tablespoons fish sauce', '1 tablespoon grated fresh ginger', '1 teaspoon salt', '1/4 teaspoon sesame oil', '2 (6 ounce) fillets lean white fish, sliced', '1/4 cup pickled Chinese vegetables', '1/4 cup sliced Chinese roast pork', '2 tablespoons chopped scallions', '2 tablespoons crushed peanuts', '1/2 teaspoon vinegar, or to taste', '1/2 teaspoon soy sauce, or to taste']","['Combine chicken stock, water, rice, 1/4 cup apple cider vinegar, fish sauce, ginger, salt, and sesame oil in a large stockpot; bring to a boil. Reduce heat and simmer until congee has thickened to the consistency of a light porridge, about 3 hours.', 'Stir fish into congee and simmer until cooked through, about 10 minutes.', 'Serve congee in bowls topped with pickled vegetables, roast pork, scallions, and peanuts. Drizzle 1/2 teaspoon vinegar and soy sauce over toppings.', '']"
Filipino-Style Congee (Lugaw),0,0,mythloaf,2,4,552,25 m,51 m,1 h 16 m,"['5 cups water', '2 cups uncooked white rice', '3 tablespoons vegetable oil', '1 whole head garlic, minced', '1 tablespoon sliced ginger', '2 tablespoons sliced onion', '2 skinless, boneless chicken breasts, cut into cubes', '1 tablespoon fish sauce, or to taste', 'ground black pepper to taste', '1 teaspoon annatto powder', '2 hard-boiled eggs, peeled, or to taste', '2 tablespoons chopped spring onions, or to taste']","['Bring water and rice to a boil in a large pot. Cook, stirring constantly, until rice is soft, about 25 minutes.', 'Heat vegetable oil in a saucepan over medium heat. Cook and stir garlic in the hot oil until golden brown, 5 minutes. Transfer half of the garlic to a small bowl.', 'Stir ginger into the garlic remaining in the saucepan; cook and stir until fragrant, about 1 minute. Add onion; cook and stir until softened, about 5 minutes. Add chicken; season with fish sauce and pepper. Cook and stir until chicken is no longer pink in the center, about 5 minutes.', 'Stir chicken mixture into the rice. Dust annatto powder over rice using a strainer; stir until dissolved. Add hard-boiled eggs. Simmer on low, stirring constantly, until rice reaches a porridge-like consistency, about 5 minutes. Remove from heat and stir in spring onions.', 'Garnish bowls of congee with reserved fried garlic.', '']"
Spargelsuppe mit Kase (Cream of White Asparagus Soup with Blue Cheese),0,0,Marianne,0,4,367,25 m,31 m,56 m,"['1 2/3 pounds white asparagus', '1/4 cup butter, divided', '1 pinch white sugar', 'salt and ground black pepper to taste', '2 shallots, chopped', '1 tablespoon all-purpose flour', '1/2 cup dry white wine', '1 (4 ounce) package Cambozola cheese, cubed', '4 sprigs chervil, leaves stripped, divided', '5 tablespoons heavy whipping cream']","['Peel asparagus spears with a vegetable peeler from top to bottom, starting below the tips. Trim off any woody ends and chop asparagus spears, leaving the tips intact.', 'Bring a large pot of water to a boil. Add asparagus pieces, 1 tablespoon butter, sugar, and salt. Reduce heat; simmer until asparagus is tender and easily pierced with a knife, 15 to 25 minutes. Drain, reserving 2 cups cooking liquid.', 'Melt remaining 3 tablespoons butter in the pot. Cook shallots, stirring often, until translucent, about 5 minutes. Stir in flour until shallots are evenly coated. Whisk in reserved cooking liquid and white wine until soup is thick and smooth, about 5 minutes. Stir in Cambozola cheese until melted, about 1 minute.', 'Stir asparagus pieces, except for the tips, into the sauce. Add all but 2 teaspoons chervil leaves. Puree soup with an immersion blender until smooth. Season with salt and pepper.', 'Beat heavy cream in a bowl with an electric mixer until stiff peaks form. Stir cream into the soup. Garnish soup with reserved asparagus tips and 2 teaspoon chervil leaves.', '']"
Uberbackener Spargeltoast (White Asparagus on Toast),4,1,friederike,1,8,479,15 m,23 m,38 m,"['16 white asparagus spears', 'salt to taste', '8 slices white bread', '2 tablespoons butter, or to taste', '4 thick slices ham, cut in half', '8 slices Edam cheese']","['Peel white asparagus with a vegetable peeler from top to bottom, starting below the tips. Cut off any woody ends with a knife.', 'Place asparagus spears and salt in a large, wide saucepan and pour in enough water to just cover. Bring to a boil. Reduce heat; simmer until spears are tender and easily pierced with a knife, 15 to 25 minutes. Drain.', ""Set oven rack about 6 inches from the heat source and preheat the oven's broiler."", 'Toast bread slices; arrange on a baking sheet. Spread butter over warm bread.', 'Lay 1/2 slice ham on top of each slice of bread; trim excess on all sides. Cut asparagus spears in half; divide evenly over ham. Cover asparagus spears with Edam cheese.', 'Place under the preheated broiler until cheese starts to bubble and brown slightly, about 3 minutes.', '']"
Spargel-Antipasti mit Lachs (White Asparagus and Smoked Salmon),0,0,Leckerschmecker,0,2,392,15 m,25 m,40 m,"['10 ounces white asparagus', '1 tablespoon butter', '1 pinch white sugar', 'salt to taste', '4 ounces smoked salmon', '3 tablespoons corn oil', '1 tablespoon chopped fresh parsley', '1 ounce Parmesan cheese', 'coarsely ground black pepper to taste']","['Peel asparagus spears from top to bottom with a vegetable peeler, starting below the tips. Cut off woody ends with a knife.', 'Place asparagus spears in a large, wide saucepan and pour in enough lightly salted water to just cover. Bring water to a boil; add butter, sugar, and salt. Reduce heat; simmer until spears are tender and easily pierced with a knife, 15 to 25 minutes. Drain.', 'Divide smoked salmon between 2 serving plates. Place asparagus spears on top.', 'Warm oil and parsley in a small saucepan over low heat until fragrant, about 5 minutes.', 'Drizzle oil over asparagus. Grate Parmesan cheese on top using a cheese grater or shave into strips using a vegetable peeler. Season with pepper.', '']"
Hobak Jeon (Pan-Fried Zucchini),1,1,Ann Lee,1,2,153,20 m,10 m,35 m,"['1 zucchini, sliced 1/4-inch thick', '1 1/4 teaspoons salt, divided', '2 eggs', '1/4 cup all-purpose flour', 'Dipping Sauce:', '2 tablespoons chopped green onions', '1 tablespoon soy sauce', '1/4 teaspoon sesame oil', '1/4 teaspoon vinegar', '1/4 teaspoon sesame seeds', '1 pinch Korean red pepper powder']","['Place zucchini slices on a large plate; sprinkle 1 teaspoon salt on top. Let stand for 5 to 10 minutes. Drain off excess moisture and pat zucchini dry.', 'Beat remaining 1/4 teaspoon salt and eggs together in a small bowl.', 'Coat zucchini slices with flour and dip into beaten eggs.', 'Heat a nonstick skillet over medium heat. Cook zucchini until bottom is golden brown, about 5 minutes. Reduce heat to medium-low and flip; press down lightly and cook until second side is golden brown, about 5 minutes more. Transfer to a plate lined with paper towels. Let cool for 1 minute.', 'Whisk green onions, soy sauce, sesame oil, vinegar, sesame seeds, and red pepper powder together in a bowl to make dipping sauce. Serve zucchini with dipping sauce.', '']"
Kkori Gomtang (Oxtail Soup),0,0,Ann Lee,0,4,310,20 m,3 h,13 h 50 m,"['2 pounds beef oxtail, cut into pieces', '4 quarts water, divided', '4 ounces daikon radish, peeled and cut into 2-inch cubes', '6 green onions, green and white parts chopped and separated', '3 tablespoons milk', '10 cloves garlic', '4 teaspoons sea salt', '4 teaspoons ground black pepper']","['Soak oxtail in cold water to remove blood, about 2 hours. Drain. Trim fat off the oxtail.', ""Place oxtail in a pressure cooker; add 2 cups water. Cover and cook over medium heat according to manufacturer's instructions for 30 minutes. Add 8 cups water and cook for 1 hour more. Remove from heat; release pressure according to manufacturer's instructions. Let cool, about 30 minutes."", 'Transfer oxtail to a container using a slotted spoon. Pour broth into a separate container. Cover and refrigerate, 8 hours to overnight.', 'Discard layer of fat that formed over the surface of the oxtail and broth.', 'Combine oxtail and broth in a large pot. Add remaining 6 cups water, daikon, white parts of the green onions, milk, and garlic. Cook over medium heat, skimming foam occasionally off the top, until garlic is soft, about 1 hour. Reduce heat to low; cook for 30 minutes more.', 'Remove daikon and white parts of the greens from the soup with a slotted spoon; discard. Garnish soup with green parts of the green onions. Season individual bowls with 1 teaspoon salt and 1 teaspoon black pepper.', '']"
Dubu Jeon (Korean Pan-Fried Tofu),0,0,Ann Lee,0,2,195,15 m,6 m,21 m,"['1 (14 ounce) package firm tofu, cut into 1/4-inch slices', '1 teaspoon salt', '1 teaspoon vegetable oil', '2 tablespoons soy sauce', '2 green onions, chopped', '1 tablespoon water', '1 teaspoon sesame seeds', '1/2 teaspoon sesame oil', '1/2 teaspoon Korean red pepper powder', '1 pinch ground black pepper', '1 pinch Korean red pepper flakes']","['Season tofu with salt.', 'Heat vegetable oil in a skillet over medium heat. Add tofu in a single layer; cook until golden brown and easily released from the bottom of the skillet, about 3 minutes. Flip and continue cooking until golden brown on the second side, about 3 minutes more.', 'Mix soy sauce, green onions, water, sesame seeds, sesame oil, red pepper powder, and black pepper together in a small bowl. Spread over the cooked tofu. Garnish with red pepper flakes.', '']"
Gyeranjjim (Korean Steamed Egg Tofu),0,0,Ann Lee,0,1,147,5 m,15 m,20 m,"['3 cups water', '2 eggs', '1/4 teaspoon salt', '2 slices carrot', '1 small piece green onion']","['Bring water to a boil in a small pot.', 'Crack eggs into a big coffee mug or jar; season with salt. Whisk eggs, slowly pouring in 1 cup boiling water. Remove bubbles from the top of the eggs using a spoon.', 'Lower coffee mug or jar gently into the pot of boiling water. Cover mug with a small plate. Cover pot with a lid and cook until eggs are set, about 10 minutes. Garnish with carrot and green onion.', '']"
Frittata di Zucchine e Fiori di Zucca (Italian Courgette Frittata),0,0,AnnaG,1,4,267,20 m,34 m,1 h 4 m,"['3 tablespoons extra-virgin olive oil, divided', '1 small white onion, finely chopped', '1 bunch parsley, stems and leaves chopped separately', '3 zucchini, cut into long, thin strips', 'salt and ground black pepper to taste', '7 1/2 cups zucchini blossoms, pistils removed', '6 eggs', '3 tablespoons grated Parmesan cheese', '1 tablespoon grated Pecorino Romano cheese', '4 leaves fresh mint, chopped']","['Heat 2 tablespoons olive oil in a large skillet over medium heat. Add onion and parsley stems; cook and stir until onion is translucent, about 5 minutes. Add zucchini and salt; cook and stir until softened, about 5 minutes.', 'Stir zucchini blossoms into the skillet. Reduce heat to medium-low, cover, and cook for 10 minutes. Uncover skillet and cook until moisture evaporates, 2 to 3 minutes more.', 'Whisk parsley leaves, eggs, Parmesan cheese, Pecorino Romano cheese, and mint together in a bowl. Fold in zucchini mixture from the skillet. Mix well; season with salt and pepper.', 'Heat remaining 1 tablespoon oil in a large skillet over high heat. Pour in egg mixture and spread evenly across the skillet. Cook for 2 minutes. Prick surface in several places with a fork. Reduce heat to low and cook for 5 minutes. Remove from heat and cover; let stand until top is just set, about 5 minutes.', 'Invert frittata onto a large plate and slide back into the skillet. Cook over low heat until second side is set, about 5 minutes more. Remove from heat and let stand 5 to 10 minutes before serving.', '']"
Gnocchetti Sardi in Pesto Leggero di Zucchine (Zucchini Pesto Pasta),5,1,tea,1,4,512,15 m,26 m,41 m,"['2 zucchini, sliced', '1 small bunch basil leaves', '2 tablespoons pine nuts', '1 clove garlic', '5 tablespoons extra-virgin olive oil', '2 tablespoons grated Parmesan cheese', '1 tablespoon lemon juice (optional)', 'salt and ground black pepper to taste', '1 (12 ounce) package gnocchetti pasta', '4 teaspoons grated Parmesan cheese']","['Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add zucchini, cover, and steam until tender, 7 to 8 minutes. Drain.', 'Place basil leaves, pine nuts, and garlic in a food processor; pulse briefly until ground together. Add zucchini, 2 1/2 tablespoons olive oil, 2 tablespoons Parmesan cheese, lemon juice, salt, and pepper; pulse until combined. Pour in remaining 2 1/2 tablespoons olive oil through the feed tube and pulse until pesto is smooth.', 'Bring a large pot of lightly salted water to a boil. Cook gnocchetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 9 minutes. Drain, reserving a few tablespoons of cooking water.', 'Toss gnocchetti with zucchini pesto in a bowl. Thin with reserved cooking water. Garnish each serving with 1 teaspoon Parmesan cheese.', '']"
Chicken Florentine Soup,5,1,Otterpond,1,4,349,20 m,40 m,1 h,"['2 tablespoons olive oil', '1 onion, chopped', '1 cup diced carrots', '1 cup diced celery', '2 cloves garlic, minced', '1 cup baby spinach leaves', '4 cups 99% fat-free chicken broth', '1 (15 ounce) can diced tomatoes', '1 lemon, juiced', '1/4 teaspoon ground black pepper', '1/4 teaspoon dried oregano', '1/4 teaspoon dried sweet basil', '2 cups diced cooked chicken', '1 cup cooked white rice']","['Heat olive oil in a large pot over medium heat. Add onion, carrots, celery, and garlic; cook and stir until onion is translucent, about 5 minutes. Stir in baby spinach.', 'Pour chicken broth, diced tomatoes, and lemon juice into the pot. Stir in pepper, oregano, and basil. Bring to a boil; stir in chicken and rice. Reduce heat to medium-low and simmer until flavors combine, about 30 minutes.', '']"
Chicken and Tortellini Florentine Soup,0,0,eve-h,1,4,775,15 m,30 m,45 m,"['1 (12 ounce) package refrigerated cheese tortellini', '1/4 cup butter', '1/2 large onion, finely chopped', '2 cloves garlic, minced', '1/2 teaspoon paprika', '1/2 teaspoon ground cumin', '1 pinch dried marjoram', 'salt and freshly ground black pepper to taste', '1/3 cup all-purpose flour', '4 cups chicken stock', '2 cups shredded cooked chicken', '2 cups fresh spinach', '1/2 cup heavy whipping cream', '1 cup shredded Parmesan cheese']","['Fill a large pot with lightly salted water and bring to a rolling boil; stir in tortellini and return to a boil. Cook uncovered, stirring occasionally, until the tortellini are tender yet firm to the bite, about 9 minutes. Drain.', 'Melt butter in a pot over medium heat. Add onion and garlic; cook and stir until onion is tender, about 5 minutes. Add paprika, cumin, marjoram, salt, and pepper. Reduce heat to low. Stir flour into the pot. Whisk in chicken stock slowly until fully blended.', 'Bring soup to a boil, stirring frequently until thickened. Add tortellini, chicken, spinach, and heavy cream; stir until heated through, about 5 minutes. Stir in Parmesan cheese until melted, 1 to 2 minutes.', '']"
Holiday Breakfast Sandwiches ,4.5,2,Deborah Folle-Scott,2,8,260,15 m,15 m,30 m,"['1/3 cup firmly packed brown sugar', '2 tablespoons all-purpose flour', '1/2 teaspoon ground cinnamon', '1 (10 ounce) can refrigerated biscuit dough', '1 cup shredded sharp Cheddar cheese', '2 large Granny Smith apples - peeled, cored, and cut into rings', '1 tablespoon margarine, melted']","['Preheat oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet.', 'Whisk brown sugar, flour, and cinnamon together in a bowl.', 'Remove biscuit dough from the can and separate into biscuits. Press into 3-inch circles on the prepared baking sheet. Sprinkle Cheddar cheese over each circle; top with apple rings. Sprinkle brown sugar mixture evenly over apple rings. Drizzle margarine on top.', 'Bake in the preheated oven until biscuits are lightly browned, about 15 minutes.', '']"
Tortellini Primavera,4.8461537361145,12,Happyschmoopies,36,5,762,20 m,10 m,4 h 30 m,"['20 ounces refrigerated cheese tortellini', '2 cups halved cherry tomatoes', '1 1/2 cups bite-sized broccoli florets', '1 cup diced yellow bell pepper', '3/4 cup shredded Parmesan cheese', '6 ounces pepperoni sausage, cubed (optional)', ""1 cup Italian-style salad dressing (such as Newman's Own(R))"", ""1/4 cup Italian-style salad dressing (such as Newman's Own(R)) (optional)""]","['Bring a large pot of lightly salted water to a boil. Cook tortellini at a boil until tender yet firm to the bite and filling is warmed through, 5 to 7 minutes; drain.', 'Stir cooked tortellini, tomatoes, broccoli, yellow bell pepper, Parmesan cheese, and pepperoni together in a bowl. Pour in 1 cup Italian dressing and toss to coat. Cover and refrigerate for at least 4 hours. If salad looks dry, stir in an additional 1/4 cup Italian dressing before serving.', '']"
